id,text,persons,locations,organizations
7340,"Trade unions demanded payment of June and July wages and last year 's holiday pay , and called on government to develop a revival programme for the plant .",,,
7341,"The former Yugoslav national army consumed 90 percent of Zastava 's pre-war output , but like the rest of Yugoslavia 's economy , the new army of Serbia and Montenegro is crippled by lack of funds .",,Yugoslavia;Serbia;Montenegro,Zastava
7342,"In Kragujevac where the plant is based , 9,000 to 10,000 people gathered in the central square to express their bitterness at what Stanojlovic called government indifference .",Stanojlovic,Kragujevac,
7343,The ruling Socialist Party last week accused Serbia 's opposition of stirring up social unrest and using workers ' already difficult social position for their own interests .,,Serbia,Socialist Party
7344,""" Late wages , no work and ( the lack of a ) production programme are the main reasons for their protests , "" a senior member of the local Socialist Party branch told Reuters .",,,Socialist Party;Reuters
7345,""" But there is a significant influence of opposition parties that are collecting points ahead of coming elections . """,,,
7346,Federal Yugoslav elections are due on November 3 .,,,
7347,"The party official said the union 's figure on the number of protesters was exaggerated . """,,,
7348,"There were about 1,400 to 1,600 people at the protest today -- much less then last week .",,,
7349,""" But there were more observers and passers by , "" he said .",,,
7350,"-- Gordana Kukic , Belgrade Newsroom +381 11 222 4254",Gordana Kukic,,Belgrade Newsroom
7351,Croatian lending rate falls to 8.0 vs 9.1 pct .,,,
7352,ZAGREB 1996-08-26,,ZAGREB,
7353,The Croatian lending rate fell to 8.0 percent on Monday from last Friday 's 9.1 percent after thin demand for kuna forced bank lenders to trim their rates further .,,,
7354,Interbank call money was down to 8.0 from 10.0 percent .,,,Interbank
7355,Insurers ' five-10 and 10-15 day loans were made at a steady 8.0 percent after last week 's drop from an earlier 15 percent .,,,
7356,"Total Zagreb Money Market settlements shrank to 17.4 million kuna , of which dealers put new borrowing at a meagre 5.5 million .",,,Zagreb Money Market
7357,Supply stood at a high 180 million kuna .,,,
7358,Overnight trade at the weekend left a surplus of 1.2 billion kuna on the supply side after 40 million were settled .,,,
7359,Croatia 's central bank again stayed out of the foreign exchange market .,,Croatia,
7360,It calculated the kuna midrates for Tuesday 's trade stronger at 5.2420 against the dollar and slightly weaker at 3.5486 against the German mark .,,,
7361,"-- Kolumbina Bencevic , Zagreb Newsroom , 385-1-4557075",Kolumbina Bencevic,,Zagreb Newsroom
7362,SVCD Bulgaria air traffic controllers to strike September 3 .,,,SVCD Bulgaria
7363,SOFIA 1996-08-26,,SOFIA,
7364,"Bulgarian air traffic controllers will go on strike on September 3 demanding higher pay , the chief of the Bulgarian association of air traffic controllers ( Bulatka ) said on Monday .",,,Bulatka
7365,"Stefan Raichev told a news conference the strike by more than half of the 1,380 traffic controllers and technicians would paralyse traffic which has increased by 10 percent since last year .",Stefan Raichev,,
7366,"More than 1,500 planes per day fly over Bulgaria , in a strategic location between Europe and the Middle and the Far East , Raichev said .",Raichev,Bulgaria;Europe;Middle;Far East,
7367,The director general of the air traffic service Valentin Valkov said last Friday that a controllers ' strike would be illegal .,Valentin Valkov,,
7368,"Valkov said he could not curb the summer charter flights of national carrier Balkan Airlines , which carries thousands of foreign tourists to the Bulgarian Black Sea resorts .",Valkov,Black Sea,Balkan Airlines
7369,"But Raichev said it would be "" discrimination "" against the other airlines if only Balkan planes were guided in .",Raichev,Balkan,
7370,""" Under the law before launching the strike we have to sign an agreement with our employer for a minimal transport servicing of emergency flights , "" Raichev said .",Raichev,,
7371,Raichev said a lock-out with military air controllers was impossible as they did not speak English .,Raichev,,
7372,"The controllers are demanding the monthly wage be increased to $ 1,000 per month from the current $ 230 , as well as the resignation of the air traffic service 's management .",,,
7373,They also demand the financial separation of the 350 air controllers from the technical staff .,,,
7374,"-- Liliana Semerdjieva , Sofia Newsroom , 359-2-84561",Liliana Semerdjieva,,Sofia Newsroom
7375,Yeltsin 's wife has kidney operation .,Yeltsin,,
7376,MOSCOW 1996-08-26,,MOSCOW,
7377,"Naina Yeltsin , wife of the Russian president , has undergone "" a planned operation "" on her left kidney and is in a satisfactory condition , Itar-Tass news agency said on Monday .",Naina Yeltsin,,Itar-Tass
7378,Tass quoted the Kremlin press service as saying the operation took place on Saturday in the Central Clinical Hospital which treats top officials .,,Kremlin;Central Clinical Hospital,Tass
7379,Mrs Yeltsin would be released from hospital in a few days .,Yeltsin,,
7380,"Doctor Sergei Mironov told Tass Naina was "" in permanent contact "" with her husband and two daughters , Yelena and Tatyana .",Sergei Mironov;Naina;Yelena;Tatyana,,Tass
7381,"The state of health of Boris Yeltsin , who had two heart attacks last year , has been the centre of media and market speculation after he won a second term in office in the July 3 election run-off and all but disappeared from the public eye .",Boris Yeltsin,,
7382,A presidential spokesman said on Monday Yeltsin was in Moscow but could give no details about his agenda or whether meetings were planned .,Yeltsin,Moscow,
7383,"Yeltsin is expected to go on holiday in the near future , but officials have not yet said where he will go or when .",Yeltsin,,
7384,Mostostal Z shareholders approve bonds .,,,Mostostal Z
7385,WARSAW 1996-08-26,,WARSAW,
7386,"Shareholders of the Polish construction firm Mostostal Zabrze Holding SA approved a 25- million-zloty , five-year convertible issue with a par value of 100 zlotys each , the company 's spokesman said on Monday .",,,Mostostal Zabrze Holding SA
7387,"Piotr Grabowski told Reuters that a Mostostal extraordinary shareholders meeting on Saturday had decided that the price of the 250,000 bonds would be set as a 10-session average price of Mostostal shares plus a premium .",Piotr Grabowski,,Reuters;Mostostal;Mostostal
7388,""" The premium will be no lower than 15 percent and will be set by management before the issue ...",,,
7389,"which we expect at the beginning of next year , "" Grabowksi said .",Grabowksi,,
7390,"Mostostal , based in southern Poland , wants to offer the bonds to large investors in a public offering , paying an annual coupon of no more than 80 percent of the yield of the benchmark 52-week T-bill .",,Poland,Mostostal
7391,The firm has signed an agreement with the Polish Development Bank ( PBR ) to manage the issue and plans them to be listed on the Warsaw bourse 's bond market .,,Warsaw,Polish Development Bank;PBR
7392,"Grabowski also said shareholders approved the issue of 1.6 million shares for which the bonds could be exchanged , a ratio of 6.4 shares per bond .",Grabowski,,
7393,"He also said shareholders approved the issue of 2.6 million new shares , two million of which are earmarked for large investors and 600,000 for retail domestic investors .",,,
7394,The price will be determined through book-building .,,,
7395,Mostostal plans to use the proceeds from the issues to add companies to its holding and modernise its plant .,,,Mostostal
7396,-- Warsaw Newsroom +48 22 653 9700,,,Warsaw Newsroom
7397,Unknown group kidnaps Dutch couple in Costa Rica .,,Costa Rica,
7398,"SAN JOSE , Costa Rica 1996-08-26",,SAN JOSE;Costa Rica,
7399,"Kidnappers have seized a Dutch couple who manage a farm in northern Costa Rica and have demanded a $ 1.5 million ransom , authorities said on Monday .",,Costa Rica,
7400,"Officials said Humberto Hueite Zyrecha and his wife Jetty Kors , both 50 , were kidnapped late on Saturday or early Sunday .",Humberto Hueite Zyrecha;Jetty Kors,,
7401,Col .,,Col,
7402,"Misael Valerio , head of border police at the Security Ministry , told reporters surveillance of the northern border with Nicaragua has been stepped up to keep the kidnappers from fleeing Costa Rica .",Misael Valerio,Nicaragua;Costa Rica,Security Ministry
7403,"Preliminary reports said the couple were kidnapped on the "" Altamira "" farm , owned by Dutchman Richard Wisinga , at Aguas Zarcas de San Carlos near the Costa Rica-Nicaragua border .",Richard Wisinga,Altamira;Aguas Zarcas de San Carlos;Costa Rica-Nicaragua,
7404,"Unconfirmed news reports said a vehicle belonging to them was found abandoned at Santa Maria de Pocosol , about 12 miles ( 20 km ) north of the site of the abduction .",,Santa Maria de Pocosol,
7405,"The reports said authorities found a statement , supposedly from the kidnappers , in the vehicle , addressed to Wisinga and demanding a $ 1.5 million ransom .",Wisinga,,
7406,"Wisinga was believed to be travelling in Europe , they said .",Wisinga,Europe,
7407,A Swiss tourist guide and a German tourist were kidnapped in the same area on New Year 's Day by a group of former Nicaraguan guerrillas .,,,
7408,"Regula Susana Siegfried , 50 , and Nicola Fleuchaus , 25 , were released after 71 days after a $ 200,000 ransom was paid .",Regula Susana Siegfried;Fleuchaus,,
7409,"In a bizarre twist , Fleuchaus and the leader of the kidnappers , Julio Cesar Vega Rojas , developed a sentimental attachment during her captivity , according to photographs printed in Costa Rican newspapers and court documents including a love letter written by Vega .",Fleuchaus;Julio Cesar Vega Rojas;Vega,,
7410,"Interacciones ups Mexico GDP forecast , lowers peso .",,Mexico,Interacciones
7411,MEXICO CITY 1996-08-26,,MEXICO CITY,
7412,"Interacciones brokerage on Monday raised its forecasts for 1996 gross domestic product growth to 4.3 percent from 3.8 percent , but it kept its 1997 projection unchanged at 4.5 percent , a statement said .",,,Interacciones
7413,Economist Alonso Cervera said the revisions were chiefly fueled by stronger than expected growth of 7.2 percent in the second quarter and he forecast an annual GDP rise of 6.1 percent in the third quarter and 4.9 percent in Q4 .,Alonso Cervera,,
7414,The firm also revised down its year-end peso forecast to 7.85-8.15 per dollar from 8.20-8.50 .,,,
7415,It forecast an end 1997 peso in the range of 9.20-9.40 .,,,
7416,"Interacciones kept its 1996 and 1997 inflation forecast unchanged at 26 percent and 20 percent , expecting the government 's 1997 inflation target to be around 15 percent .",,,Interacciones
7417,It bumped up its average interest rate projection in 1997 to 25.8 percent from 23 percent .,,,
7418,"Fiscal policy was expected to be loosened a bit in the second half of this year , boosting growth without running into a deficit .",,,
7419,""" Next year , the fiscal policy will have less margin of freedom because the government will have to face commitments that it has taken on under different support schemes for the banks , debtors and firms , "" the brokerage said .",,,
7420,"-- Henry Tricks , Mexico City newsroom +525 728-9560",Henry Tricks,Mexico City,
7421,Bancomext official says Mexico peso level suitable .,,Mexico,Bancomext
7422,MEXICO CITY 1996-08-26,,MEXICO CITY,
7423,A top official of export development bank Bancomext said the peso 's appreciation against the dollar this year has not hurt demand for Mexican exports .,,,Bancomext
7424,""" We have a suitable exchange rate .",,,
7425,We have n't felt a drop-off in demand ....,,,
7426,"We have no basis for saying that the exchange rate is affecting exports , "" Rafael Moreno Turrent , deputy director general for foreign trade promotion at the bank , said at a news conference .",Rafael Moreno Turrent,,
7427,"Colombian peso closes lower , importers buy dlrs .",,,
7428,BOGOTA 1996-08-26,,BOGOTA,
7429,"Colombia 's peso closed lower at 1,044 after coming under pressure from dollar-buying by importers seeking to meet their commitments abroad , interbank dealers said .",,Colombia,
7430,"It was the second consecutive session that saw the peso , which ended at 1,041 Friday , close lower .",,,
7431,""" The ( dollar 's ) rise was due to demand from importers who have a lot of wire transfers accumulated , "" one dealer said .",,,
7432,"Contributing to the peso 's weakness , another dealer said banks who might have sold greenbacks in Monday 's trading appeared to shy away from the market .",,,
7433,"This , according to the trader , was typical of month-end position-squaring -- and the fact that a stronger U.S. currency helps limit some foreign exchange losses .",,U.S.,
7434,"Dealers reported 355 trades for a total of $ 142 million and said the peso hit an intra-day high of 1,037 before heading lower into the close .",,,
7435,"-- Juan Guillermo Londono , Bogota newsroom , 571 610 7944",Juan Guillermo Londono,Bogota,
7436,Japan 's Hashimoto leaves Brazil for Peru .,Hashimoto,Japan;Brazil;Peru,
7437,BRASILIA 1996-08-26,,BRASILIA,
7438,"Japanese Prime Minister Ryutaro Hashimoto left Brasilia on Monday for Lima , the penultimate stop on a 10-day Latin American tour , a Brazilian Foreign Ministry spokeswoman said .",Ryutaro Hashimoto,Brasilia;Lima,Foreign Ministry
7439,"Hashimoto , who has already visited Mexico and Chile , spent three days in Brazil .",Hashimoto,Mexico;Chile;Brazil,
7440,"After Peru , he was due to go to Costa Rica .",,Peru;Costa Rica,
7441,Nicaraguan president has operation in U.S .,,U.S,
7442,"MANAGUA , Nicaragua 1996-08-26",,MANAGUA;Nicaragua,
7443,"Nicaraguan President Violeta Chamorro underwent successful surgery in the United States on Monday to correct a compression in her lower spinal column , the government said .",Violeta Chamorro,United States,
7444,"Doctors at Johns Hopkins Hospital in Baltimore found an inflamation in her spinal column that , once treated , will free her of chronic pain in her back and one leg that has limited her movement , a government statement said .",,Johns Hopkins Hospital;Baltimore,
7445,""" ( Chamorro ) is in good health and , according to her doctors , will be able to return to Nicaragua next week , "" it said .",Chamorro,Nicaragua,
7446,"Chamorro , 66 , had complained of lower back pain since a trip to Taiwan in May , when pain forced her to go to Taipei University Hospital for an examination .",Chamorro,Taiwan;Taipei University Hospital,
7447,"She suffers from osteoporosis , a disease that weakens the bones , and has repeatedly flown to Washington for treatment .",,Washington,
7448,She is scheduled to step down in January after a term of nearly seven years .,,,
7449,Eight drown in Venezuelan boating accident .,,,
7450,"MARACAIBO , Venezuela 1996-08-26",,MARACAIBO;Venezuela,
7451,"Eight members of a family , five of them children aged between two and seven , drowned when their small boat sank on Lake Maracaibo in western Venezuela early on Monday , authorities said .",,Lake Maracaibo;Venezuela,
7452,"The accident happened when the Sanchez Zarraga family took their boat out for a nighttime spin , Civil Defence and Coast Guard officials said .",Sanchez Zarraga,,Civil Defence and Coast Guard
7453,The cause of the sinking was not known but officials said the boat had a hole in the stern and no lifejackets .,,,
7454,Three members of the party were rescued unhurt .,,,
7455,Banco de Mexico to inject 3.412 bln pesos .,,,Banco de Mexico
7456,MEXICO CITY 1996-08-26,,MEXICO CITY,
7457,"Banco de Mexico sought to inject 3.412 billion pesos in the secondary market on Monday through three credit auctions , dealers said .",,,Banco de Mexico
7458,The auctions were offered as follows :,,,
7459,AMOUNT TERM,,,
7460,1.206 bln 9 days,,,
7461,1.206 bln 3 days,,,
7462,1.000 bln 1 day,,,
7463,- Mexico City newsroom 525 728-9559,,Mexico City,
7464,Dutch couple kidnapped in Costa Rica .,,Costa Rica,
7465,"SAN JOSE , Costa Rica 1996-08-26",,SAN JOSE;Costa Rica,
7466,"A Dutch couple who manage a farm in northern Costa Rica have been kidnapped by an unidentified group demanding $ 1.5 million in ransom , authorities said on Monday .",,Costa Rica,
7467,"Officials said Humberto Hueite Zyrecha and his wife Jetty Kors , both 50 , were kidnapped late Saturday or early Sunday .",Humberto Hueite Zyrecha;Jetty Kors,,
7468,Col .,,Col,
7469,"Misael Valerio , head of border police at the Security Ministry , told reporters that surveillance of the country 's northern border with Nicaragua has been stepped up to stop the kidnappers from fleeing Costa Rica .",Misael Valerio,Nicaragua;Costa Rica,Security Ministry
7470,No other details were immediately available .,,,
7471,"RTRS - Melbourne train collides with truck , 15 injured .",,Melbourne,RTRS
7472,MELBOURNE 1996-08-26,,MELBOURNE,
7473,"Fifteen people were injured when a suburban passenger train and a truck collided at a street-level rail crossing in the Australian city of Melbourne on Monday , said rail and ambulance officials .",,Melbourne,
7474,"The injured , which included a pregnant woman , were taken to hospital , but were not in a serious condition , an ambulance spokesman told Reuters .",,,Reuters
7475,"A Public Transport Corporation spokesman said the train , collided with the truck loaded with concrete pylons in the north Melbourne suburb of Preston just before 8.30 a.m ..",,Melbourne;Preston,Public Transport Corporation
7476,"The train was derailed when a corner of the driver 's compartment caught the rear of the truck , the spokesman said .",,,
7477,"The truck was overturned , spilling its load onto the crossing , and careered into the nearby Bell St Station .",,Bell St Station,
7478,""" Remarkably both the train driver and the truck driver were not injured , "" the rail spokesman said .",,,
7479,""" It had the potential to be quite a nasty accident . """,,,
7480,-- Sydney Newsroom 61-2 373-1800,,,Sydney Newsroom
7481,Police capture Auckland gunman .,,Auckland,
7482,AUCKLAND 1996-08-27,,AUCKLAND,
7483,"A gunman being hunted on Auckland 's North Shore was captured by police just after 9 a.m. on Tuesday , New Zealand Press Association reported .",,Auckland;North Shore,New Zealand Press Association
7484,"Senior Sergeant Dave Pearson of Auckland police said John Grant Fagan was in police custody , but further details of his capture would not be released until a press conference later in the day .",Dave Pearson;John Grant Fagan,Auckland,
7485,"Fagan had earlier telephoned an Auckland radio station in a distraught state , saying he feared for his life .",Fagan,Auckland,
7486,Police said he did not have a weapon when taken into custody and was now cooperating with them .,,,
7487,Radio New Zealand reported earlier that an armed man on Monday entered the Northcote College swimming pool changing sheds and confronted a 16-year-old schoolgirl .,,,Radio New Zealand;Northcote College
7488,"A shot was fired , but onlookers managed to disarm the man .",,,
7489,-- Wellington newsroom 64 4 473-4746,,Wellington,
7490,Police seek fugitive after Auckland gun incident .,,Auckland,
7491,WELLINGTON 1996-08-27,,WELLINGTON,
7492,"Auckland police were seeking an escaped gunman on Tuesday after an incident in which he fired at a 16-year-old schoolgirl , Radio New Zealand said .",,Auckland,Radio New Zealand
7493,"The man entered the Northcote College swimming pool changing sheds on Monday and told the girl and a friend : "" You 're for it now . """,,,Northcote College
7494,"A shot was fired , but onlookers managed to seize the gun , the radio said .",,,
7495,"Police , who were unsuccessful in finding the man overnight , described him as disturbed and dangerous .",,,
7496,-- Wellington newsroom 64 4 473-4746,,Wellington,
7497,SIMEX Brent closed on Monday owing to IPE holiday .,,,SIMEX Brent;IPE
7498,SINGAPORE 1996-08-26,,SINGAPORE,
7499,The Brent crude futures market on the Singapore International Monetary Exchange ( SIMEX ) was closed on Monday in respect for a U.K. national holiday .,,U.K.,Brent;Singapore International Monetary Exchange;SIMEX
7500,"THE SIMEX Brent market keeps to the trading schedule of the International Petroleum Exchange ( IPE ) in London , which is closed for a British bank holiday .",,London,SIMEX Brent;International Petroleum Exchange;IPE
7501,Contracts traded in Singapore are mutually offset against contracts traded in London .,,Singapore;London,
7502,-- Singapore Newsroom ( +65 870 3081 ),,,Singapore Newsroom
7503,Metro slides 3.3 pct after market opens .,,,Metro
7504,SINGAPORE 1996-08-26,,SINGAPORE,
7505,"Shares in retailer Metro Holdings dropped 3.31 percent , or Singapore $ 0.20 , to S$ 5.85 minutes after the market opened on Monday .",,Singapore,Metro Holdings
7506,"By 0120 GMT , 357,000 Metro shares had been traded .",,,Metro
7507,"On Friday , Metro Holdings topped gainers , soaring by S$ 1.55 to close at S$ 6.05 on market rumours of a takeover bid by First Capital Corp .",,,Metro Holdings;First Capital Corp
7508,The company said it was not aware of any reason for the surge .,,,
7509,-- Singapore newsroom ( 65 8703080 ),,Singapore,
7510,Indonesian rupiah stable in quiet late trading .,,,
7511,JAKARTA 1996-08-26,,JAKARTA,
7512,"The Indonesian rupiah was stable against the dollar in quiet trading on Monday , dealers said .",,,
7513,They said volume was thin following a public holiday in Hong Kong and the United Kingdom .,,Hong Kong;United Kingdom,
7514,""" We did n't see anything from Singapore operators either .",,Singapore,
7515,"It 's a pretty quiet day , "" one foreign bank dealer said .",,,
7516,"Spot rupiah was quoted at 2,342.0 / 42.5 at 0915 GMT , unchanged from the opening level .",,,
7517,It was softer in the morning due to relatively ample rupiah liquidity but recovered later .,,,
7518,"Tomorrow and today rupiah closed at 2,342.00 / 42.45 and 2,341.5 / 42.0 , respectively .",,,
7519,Another dealer said operators were reluctant to unload rupiah despite ample conditions due to the month-end factor .,,,
7520,""" There are two factors which determine the market at present .",,,
7521,"The liquidity at month-end and the next court hearing scheduled for Thursday , "" the dealer said .",,,
7522,"Megawati Sukarnoputri , deposed leader of the Indonesian Democratic Party ( PDI ) has sued the government for ousting her as PDI leader .",Megawati Sukarnoputri,,Indonesian Democratic Party;PDI;PDI
7523,The central Jakarta court adjourned the case last Thursday for possible out-of-court settlement .,,Jakarta,
7524,The hearing is due to resume on Thursday .,,,
7525,Megawati 's lawyers said they were still discussing a possible out of court settlement but they was not optimistic an agreement could be reached .,Megawati,,
7526,The dealer said this issue remained a factor but its importance to the market seemed to diminish .,,,
7527,He said liquidity would be the main concern for the next few days .,,,
7528,Overnight swap was at 0.45 / 0.48 and tom / next at 0.50 / 0.55 .,,,
7529,"One-month swap was at 18.0 / 18.5 , two at 34.0 / 35.0 , three at 52.75 / 53.50 and six at 106.5 / 107.0 points .",,,
7530,"The central bank kept its intervention rate at 2,337 / 2,455 and the conversion rate at 2,337 / 2,383 on Monday .",,,
7531,Senate intelligence chairman in Saudi bomb probe .,,,Senate
7532,DUBAI 1996-08-26,,DUBAI,
7533,"U.S. Senate Intelligence Committee chairman Arlen Specter , who has questioned whether Defence Secretary William Perry should resign over the latest bombing in Saudi Arabia , met Saudi officials on Monday during a brief visit to the kingdom .",Arlen Specter;William Perry,Saudi Arabia,U.S. Senate Intelligence Committee;Defence
7534,"A U.S. embassy spokesman in Riyadh said Specter , who arrived from neighbouring Oman on Sunday and left on Monday , had talks with Saudi and American officials in Dhahran , where 19 U.S. airmen were killed by a fuel truck bomb on June 25 , and Riyadh .",Specter,U.S.;Riyadh;Oman;Dhahran;U.S.;Riyadh,
7535,"Specter met Crown Prince Abdullah and Minister of Defence and Aviation Prince Sultan in Jeddah , Saudi state television and the official Saudi Press Agency reported .",Specter;Prince Abdullah;Sultan,Jeddah,Defence and Aviation;Saudi Press Agency
7536,"He had earlier visited Japan , South Korea and China .",,Japan;South Korea;China,
7537,Specter said after the bombing there should be a shake-up at the Pentagon and questioned whether Perry should resign .,Specter;Perry,,Pentagon
7538,He said he was not satisfied with some of Perry 's answers to the committee 's questions in closed testimony last month .,Perry,,
7539,"The question of whether Perry should resign remained open , the Pennsylvania Republican said .",Perry,Pennsylvania,
7540,"FBI Director Louis Freeh , who has twice visited Saudi Arabia to seek improved cooperation with Saudi investigators , told the committee he was not entirely satisfied with Saudi cooperation on the Dhahran bomb and a previous bomb attack in Riyadh .",Louis Freeh,Saudi Arabia;Dhahran;Riyadh,FBI
7541,""" If we 're to stay in Saudi Arabia , we need to have total cooperation , "" Specter said .",Specter,Saudi Arabia,
7542,"The United States has 5,000 U.S. air force and other military personnel in Saudi Arabia .",,United States;U.S.;Saudi Arabia,
7543,Hijacked Sudanese plane leaves Cyprus for Britain .,,Cyprus;Britain,
7544,"LARNACA , Cyprus 1996-08-27",,LARNACA;Cyprus,
7545,"A Sudan Airways plane with 199 passengers and crew which was hijacked to Cyprus took off from Larnaca airport after refuelling and headed to Britain early on Tuesday , witnesses said .",,Cyprus;Larnaca;Britain,Sudan Airways
7546,Police said an unknown number of hijackers were on board the Airbus 310 which was hijacked on its way from Khartoum to Amman in Jordan .,,Khartoum;Amman;Jordan,
7547,One had threatened to blow it up unless it was refuelled and they were taken to London where they intended to surrender and seek political asylum .,,London,
7548,"Kurds clash again in Iraq , dozens reported dead .",,Iraq,
7549,ANKARA 1996-08-26,,ANKARA,
7550,"Heavy fighting broke out between two rival Kurdish factions in northern Iraq at midnight Sunday and at least 29 people were killed , one of the groups said on Monday .",,Iraq,
7551,The Kurdistan Democratic Party ( KDP ) said the Patriotic Union of Kurdistan ( PUK ) had broken the U.S.-brokered ceasefire agreed between the two parties last week .,,,Kurdistan Democratic Party;KDP;Patriotic Union of Kurdistan;PUK
7552,The factions reached a ceasefire on Friday after a week of fierce fighting which had put an end to a truce agreed a year earlier .,,,
7553,""" The PUK leadership who pledged to end fighting and cooperate with the latest U.S. initiative started a major military offensive against KDP positions , "" the KDP said in a statement .",,U.S.,PUK;KDP;KDP
7554,"It said heavy fighting started at midnight in the region dividing the two warring factions , with the PUK aiming to break through to KDP 's headquarters in Salahuddin .",,Salahuddin,PUK;KDP
7555,The KDP said 29 PUK fighters were killed in the attack .,,,KDP;PUK
7556,It did not provide details of KDP casualties and a PUK spokesman was not immediately available for comment .,,,KDP;PUK
7557,"The statement said the PUK resumed its attack on Monday morning on KDP positions near Rawandouz and indiscriminately shelled the town of Dayana , killing a priest and injuring some civilians .",,Rawandouz;Dayana,PUK;KDP
7558,The fighting has threatened a U.S.-led peace plan to unite the mountainous Kurdish region in northern Iraq against President Saddam Hussein .,Saddam Hussein,Iraq,
7559,A U.S.-led air force has protected Iraqi Kurds against attack from Baghdad since shortly after the Gulf War in 1991 .,,Baghdad,
7560,Egypt to press Britain over Islamist conference .,,Egypt;Britain,
7561,CAIRO 1996-08-26,,CAIRO,
7562,"Egypt will tell Britain it is concerned about a meeting of Islamists to be held in London soon , Foreign Minister Amr Moussa said on Monday .",Amr Moussa,Egypt;Britain;London,
7563,""" There is a question mark over this issue .",,,
7564,"We , and many other countries , do n't understand this ( Britain 's ) position , "" Moussa told reporters .",Moussa,Britain,
7565,""" Egypt will contact the British government to find out the truth of the matter and to discuss the possible consequences of such an unfortunate step , "" he added .",,Egypt,
7566,"Egyptian government newspapers have criticised Britain for allowing Islamists , whom they brand as "" terrorists "" , to hold their conference , saying the meeting will be a chance for dangerous Moslem militants to plot against their countries of origin .",,Britain,
7567,It is not clear when the conference will be held .,,,
7568,"About 1,000 people have been killed in Egypt since Islamic militants took up arms in 1992 in an attempt to overthrow the government and set up a strict Islamic state .",,Egypt,
7569,Cairo says several Egyptian militants on the run from death sentences or convictions for violent attacks at home have taken shelter in Britain .,,Cairo;Britain,
7570,Israeli army ransacks Bedouin Palestinian camp .,,,
7571,"AL-MUNTAR , West Bank 1996-08-26",,AL-MUNTAR;West Bank,
7572,"Israeli security forces ransacked a Bedouin encampment in the West Bank on Monday to expel them from an area which Palestinians say had been earmarked for Jewish settlement expansion , residents said .",,West Bank,
7573,"They said soldiers stole a gold necklace and about $ 2,000 in Israeli currency from an elderly woman and her daughter-in-law while rummaging through their luggage before destroying family shacks and animal barns .",,,
7574,""" They rammed our shacks with jeeps and destroyed the shack over my baby , "" said 25-year-old Amina Muhammad . """,Amina Muhammad,,
7575,"He was saved only by a miracle . """,,,
7576,A spokesman for Israel 's civil administration in the West Bank said the Bedouins were moved because they were encamped on an Israeli army firing zone .,,Israel;West Bank,
7577,The spokesman Peter Lerner said he knew nothing about soldiers having stolen anything from the Palestinians .,Peter Lerner,,
7578,"Israeli security forces have been pursuing Bedouin Palestinians living in the desolate wilderness between East Jerusalem and the Dead Sea , where several Jewish settlements have been established .",,East Jerusalem;Dead Sea,
7579,The Israeli army also uses the area for military training .,,,
7580,U.S. base metals and scrap prices - August 26 .,,U.S.,
7581,"U.S. premiums added to LME official cash settlement price , except for copper , which is added to the COMEX spot month .",,U.S.,LME
7582,Premium includes price for delivery to consumer 's works .,,,
7583,--,,,
7584,Aluminum : Western grade 3.25-3.75 cents / pound,,,
7585,Russian grade A7E 3.25-3.75 cents / pound,,,
7586,Russian grade A0 nominal 2.00-2.25 cents / pound,,,
7587,Zinc : Special high grade SHG 5.50-6.00 cents / pound,,,
7588,Lead 3.50-4.00 cents / pound,,,
7589,Tin ( Grade A ) 6.5-8.5 cents / pound,,,
7590,"( low lead , 50 ppm ) 9.0-10.5 cents / pound",,,
7591,Nickel ( melting grade ) 9.0-12.0 cents / pound,,,
7592,Copper ( high grade cathode ) 2.50-3.0 cents / pound,,,
7593,--,,,
7594,"Aluminum alloy ( A380 grade ) , Midwest",,Midwest,
7595,"and East coast , delivered to consumer 65-66 cents / pound",,East coast,
7596,--,,,
7597,"Aluminum scrap , Midwest and East coast average price ,",,Midwest;East coast,
7598,delivered to consumer,,,
7599,Old Sheet and Cast metal 42 to 44 cents / pound,,,
7600,"Turnings , clean and dry 43 to 44 cents / pound",,,
7601,Mixed low-copper clips 48 to 49 cents / pound,,,
7602,--,,,
7603,"Copper scrap , Midwest and East coast average price ,",,Midwest;East coast,
7604,delivered to consumer,,,
7605,No2 Refined 75 to 77 cents / pound,,,
7606,No1 Bare Bright 91 to 92 cents / pound,,,
7607,No1 Burnt 87 to 90 cents / pound,,,
7608,--,,,
7609,"Lead batteries , delivered consumer 4.5 to 6.0 cents / pound",,,
7610,U.S. Producer list / transaction prices,,U.S.,
7611,--,,,
7612,"Alcan aluminum , U.S. Midwest ( effective date : August 1 , 1996 )",,U.S. Midwest,Alcan
7613,P1020 ingot 75 cents / pound,,,
7614,extrusion billet 85 cents / pound,,,
7615,"Noranda aluminum , U.S. Midwest ( effective date:August 1 , 1996 )",,U.S. Midwest,Noranda
7616,ingot 75 cents / pound,,,
7617,extrusion billet 85 cents / pound,,,
7618,"RSR pure lead price ( effective date : March 20 , 1996 )",,,RSR
7619,52 cents / pound,,,
7620,"Doe Run pure lead price ( effective date : August 14 , 1996 )",,,Doe Run
7621,50 cents / pound,,,
7622,"ASARCO pure lead ( effective date : August 1 , 1996 )",,,ASARCO
7623,premium over LME cash 7.5 cents / pound,,,LME
7624,-- ( New York commodities desk 212 859 1646 ),,New York,
7625,Florida boy kills himself before starting new school .,,Florida,
